,link,name,set,seller,image,condition,price
0,/pokemon/sun-moon-cosmic-eclipse-singles/charizard-braixen-gx-251-236-psa-gem-mt-10-hyper-rare-cosmic-eclipse-5703/1656462,Charizard & Braixen GX - 251/236 - PSA GEM MT 10 - Hyper Rare (Cosmic Eclipse) 5703,Sun & Moon: Cosmic Eclipse Singles,Paradise Games,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1656462.jpg,Pokemon Card (See Image for Condition),$649.99
1,/pokemon/pokemon/thai-charizard-gx-168-150-hyper-rare/1675190,Thai Charizard GX- 168/150 Hyper Rare,Pokemon,Sub F Pokemon,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1675190.jpg,Near Mint English Pokemon Card,$599.99
2,/pokemon/champion-s-path-singles/charizard-vmax-074-073-hyper-rare/1676344,Charizard VMAX - 074/073 - Hyper Rare,Champion's Path Singles,Paradise Games,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1676344.jpg,Near-Mint English Pokemon Card,$474.99
3,/pokemon/sun-moon-unbroken-bonds-singles/reshiram-charizard-gx-217-214-psa-mint-9-hyper-rare-s-m-unbroken-bonds-1639/1673973,Reshiram & Charizard GX - 217/214 - PSA Mint 9 - Hyper Rare (S&M:Unbroken Bonds) 1639,Sun & Moon: Unbroken Bonds Singles,Sub F Pokemon,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1673973.jpg,Pokemon Card (See Image for Condition),$399.99
4,/pokemon/sun-moon-cosmic-eclipse-singles/blastoise-piplup-gx-253-236-psa-gem-mt-10-hyper-rare-cosmic-eclipse-5692/1656173,Blastoise & Piplup GX - 253/236 - PSA GEM MT 10 - Hyper Rare (Cosmic Eclipse) 5692,Sun & Moon: Cosmic Eclipse Singles,Paradise Games,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1656173.jpg,Pokemon Card (See Image for Condition),$399.99
5,/pokemon/sun-moon-burning-shadows-singles/charizard-gx-150-147-hyper-rare/1123665,Charizard GX - 150/147 - Hyper Rare,Sun & Moon: Burning Shadows Singles,Blinged Out Deck,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1123665.jpg,Near-Mint English Pokemon Card,$599.89
6,/pokemon/sun-moon-unbroken-bonds-singles/reshiram-charizard-gx-217-214-psa-mint-9-hyper-rare-s-m-unbroken-bonds-1305/1678505,Reshiram & Charizard GX - 217/214 - PSA Mint 9 - Hyper Rare (S&M:Unbroken Bonds) 1305,Sun & Moon: Unbroken Bonds Singles,ronnyberry,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1678505.jpg,Pokemon Card (See Image for Condition),$349.99
7,/pokemon/sun-moon-cosmic-eclipse-singles/solgaleo-lunala-gx-254-236-psa-gem-mt-10-hyper-rare-s-m-cosmic-eclipse-5919/1674018,Solgaleo & Lunala GX - 254/236 - PSA GEM MT 10 - Hyper Rare (S&M Cosmic Eclipse) 5919,Sun & Moon: Cosmic Eclipse Singles,Sub F Pokemon,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1674018.jpg,Pokemon Card (See Image for Condition),$299.99
8,/pokemon/sun-moon-cosmic-eclipse-singles/charizard-braixen-gx-251-236-psa-mint-9-hyper-rare-s-m-cosmic-eclipse-5935/1674093,Charizard & Braixen GX - 251/236 - PSA Mint 9 - Hyper Rare (S&M Cosmic Eclipse) 5935,Sun & Moon: Cosmic Eclipse Singles,Sub F Pokemon,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1674093.jpg,Pokemon Card (See Image for Condition),$299.99
9,/pokemon/sun-moon-cosmic-eclipse-singles/charizard-braixen-gx-251-236-psa-mint-9-hyper-rare-s-m-cosmic-eclipse-5765/1656445,Charizard & Braixen GX - 251/236 - PSA Mint 9 - Hyper Rare (S&M: Cosmic Eclipse) 5765,Sun & Moon: Cosmic Eclipse Singles,Paradise Games,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/small/1656445.jpg,Pokemon Card (See Image for Condition),$279.99
